PaperID,DOI,Comment
2004_shaobo_researchOn_PMN-PT,https://doi.org/10.1016/j.mseb.2004.06.010 ,EC literature
2006_mischenko_giantElectrocaloric_PMN-PT,https://doi.org/10.1063/1.2405889 ,EC literature
2006_mischenko_giantElectrocaloric_PZT,https://doi.org/10.1126/science.1123811 ,EC literature
2008_hagberg_electrocaloricCharacteristics_PMN-PT,https://doi.org/10.1063/1.2905296 ,EC literature
2008_qiu_effectOf_PZT,https://doi.org/10.1016/j.physleta.2008.10.042 ,EC literature
2008_qiu_grainSize_BT,https://doi.org/10.1063/1.3063811 ,EC literature
2009_chen_giantElectrocaloric_SBT,https://doi.org/10.1063/1.3123817 ,EC literature
2009_saranya_electrocaloricEffect_PMN-PT,https://doi.org/10.1007/s12034-009-0039-3.pdf,EC literature
2010_kar-narayan_directAnd_BT,https://doi.org/10.1088/0022-3727/43/3/032002 ,EC literature
2010_lu_organicAnd_PZT,https://doi.org/10.1063/1.3501975,EC literature
2011_bai_abnormalElectrocaloric_NBT-BT,https://doi.org/10.1016/j.materresbull.2011.07.038,EC literature
2011_correia_pstThin_PST,https://doi.org/10.1088/0022-3727/44/16/165407 ,EC literature
2011_hao_energy-storagePerformance_PLZT,https://doi.org/10.1063/1.3641983 ,EC literature
2011_luo_pyroelectricAnd_PMN-PT,https://doi.org/10.1016/j.jallcom.2011.05.111,EC literature
2012_goupil_directAnd-PMN-PT,https://doi.org/10.1063/1.4730338,EC literature
2012_luo_orientationAnd_PMN-PT,https://doi.org/10.1063/1.4745185 ,EC literature
2012_zheng_thermo-electricalEnergy_BNT-xBT,http://doi.org/10.1016/j.tsf.2012.08.052 ,EC literature
2013_bai_combinedEffects_BST,https://doi.org/10.1063/1.4825266 ,EC literature
2013_jiang_electrocaloricEffect_BNT–xKN,http://doi.org/10.1016/j.ceramint.2013.10.066,EC literature
2013_moya_giantElectrocaloric_BTO,https://doi.org/10.1002/adma.201203823 ,EC literature
2013_peng_aGiant_PBZ,https://doi.org/10.1002/adfm.201202525 ,EC literature
2013_perantie_electrocaloricProperties_PMN-PT,https://doi.org/10.1063/1.4829012 ,EC literature
2013_Qian_giantElectrocaloric-BZT,https://doi.org/10.1002/adfm.201302386 ,EC literature
2014_cao_enhancedElectrocaloric_NBT,http://doi.org/10.1016/j.ceramint.2014.01.149 ,EC literature
2014_hao_ electric-fieldTunable_PNZST,https://doi.org/10.1063/1.4862171 ,EC literature
2014_luo_enhancedElectrocaloric_BTS,https://doi.org/10.1063/1.4895615,EC literature
2014_qian_giantElectrocaloric_BT,https://doi.org/10.1002/adfm.201302386 ,EC literature
2014_sanlialp_strongElectrocaloric_BZT-BCT,https://doi.org/10.1063/1.4907774 ,EC literature
2014_ye_giantElectrocaloric_BZT,https://doi.org/10.1063/1.4898599,EC literature
2015_asbani_lead-free_BCZT,https://doi.org/10.1063/1.4906864,EC literature
2015_crossley_directElectrocaloric_PMN-PT,https://doi.org/10.1063/1.4938758 ,EC literature
2015_koruza_largeElectrocaloric_ KNN-STO,https://doi.org/10.1063/1.4921744 ,EC literature
2016_kaddoussi_indirectAnd_BCZT,http://doi.org/10.1016/j.jallcom.2016.01.159,EC literature
2016_leGoupil_tuningThe_PMN-Xpt,https://doi.org/10.1038/srep28251 ,EC literature
2016_li_largeRoom-temperature_BHT,http://doi.org/10.1016/j.actamat.2016.05.044,EC literature
2016_lu_largeElectrocaloric_PZT,https://doi.org/10.1038/srep45335,EC literature
2016_sanlialp_electrocaloricEffect_BZT-BCT,https://doi.org/10.1111/jace.14456,EC literature
2017_axelsson_electrocaloricEffect_SBNT,http://doi.org/10.1016/j.actamat.2016.11.001,EC literature
2017_sanlialp_directMeasurement_BST,https://doi.org/10.1063/1.5001196,EC literature
2018_ge_compositionDependence_PST,https://doi.org/10.1016/j.jmat.2018.10.002,EC literature
2018_Jian_directMeasurement_BZT,https://doi.org/10.1021/acsami.7b15933,EC literature
2018_lu_electrocaloricEffect_BZT-BCT,https://doi.org/10.1016/j.ceramint.2018.08.308 ,EC literature
2018_sanlialp_quasi-adiabaticCalorimeter_BZT,https://doi.org/10.1063/1.4997155 ,EC literature
2018_xu_roomTemperature_BST-BCTZ,https://doi.org/10.1007/s10854-018-8711-2 ,EC literature
2019_jian_enhancedElectrocaloric_BSZT,https://doi.org/10.1021/acsami.9b04036,EC literature
1993_Yadav_synthesisAnd_PLZT,https://doi.org/10.1007/BF01151254,Ferroelectrics literature
1997_kelly_effectOf_PMN-PT_family,https://doi.org/10.1111/j.1151-2916.1997.tb02927.x,Ferroelectrics literature
1999_soares_phaseCoexistence_PZT,https://doi.org/10.1016/S0955-2219(99)00170-3,Ferroelectrics literature
2000_Bharadwaja_fieldInduced_PNZST,https://doi.org/10.1063/1.1332977,Ferroelectrics literature
2003_zhang_effectOf_PLZT,https://doi.org/10.1016/S0921-5107(02)00499-3,Ferroelectrics literature
2004_dutta_microstructuralStudies_PLZT,https://doi.org/10.1063/1.1765869,Ferroelectrics literature
2004_zhai_dielectricProperties_BST,https://doi.org/10.1016/j.mseb.2004.06.010,Ferroelectrics literature
2005_bokov_polarNanodomains_PMN-PT_family,https://doi.org/10.1016/j.mseb.2005.02.015,Ferroelectrics literature
2005_Ranjan_structureAnd_NBT-BT,https://doi.org/10.1016/j.ssc.2005.03.053,Ferroelectrics literature
2006_Maiti_electricField_BZT,https://doi.org/10.1063/1.2354438 ,Ferroelectrics literature
2006_Patent_US,https://patentimages.storage.googleapis.com/e0/ec/6e/33b75b99e2dedf/US20060232910A1.pdf ,Ferroelectrics literature
2007_chen_microstructureAnd_BZT,https://doi.org/10.1007/s10854-007-9348-8,Ferroelectrics literature
2008_ortega_enhancedPolarization_PZT,https://doi.org/10.1063/1.2976348 ,Ferroelectrics literature
2009_liu_largePiezoelectric_BZT-xBCT,https://doi.org/10.1007/s10854-007-9348-8,Ferroelectrics literature
2010_ buixaderas_ultrabroadbandDielectric_PLZT,https://doi.org/10.1063/1.3501105 ,Ferroelectrics literature
2014_MPeko_field-assistedSintering_BTO,http://doi.org/10.1016/j.jeurceramsoc.2014.04.041 ,Ferroelectrics literature
2015_tuan_structureMicrostructure_BCT-xBZT,http://hdl.handle.net/123456789/31600 ,Ferroelectrics literature
2017_wang_energyStorage_PNZST,https://doi.org/10.1007/s10854-016-5679-7 ,Ferroelectrics literature
2019_Kumar_highEnergy_PLZT,https://doi.org/10.1007/s13391-019-00124-z,Ferroelectrics literature
2019_liu_effectOf_PLZST,https://doi.org/10.1007/s10854-019-02666-2 ,Ferroelectrics literature
